"BehaviorSpace results (NetLogo 6.1.1)"
"final-1.nlogo"
"experiment"
"06/06/2021 15:32:30:509 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","marketing-effort","coef_of_social_influence","network","product-quality","social-influence?","fraction-of-greener","number-of-consumers","[step]","ticks"
"290","0.4","0.3","random","0.5","true","0.26","1000","1620","1620"
"291","0.6","0.3","random","0.5","true","0.26","1000","1245","1245"
"295","0.6","0.5","random","0.5","true","0.26","1000","1275","1275"
"294","0.4","0.5","random","0.5","true","0.26","1000","1625","1625"
"289","0.2","0.3","random","0.5","true","0.26","1000","2701","2701"
"296","0.8","0.5","random","0.5","true","0.26","1000","1120","1120"
"293","0.2","0.5","random","0.5","true","0.26","1000","2355","2355"
"299","0.6","0.7","random","0.5","true","0.26","1000","1235","1235"
"298","0.4","0.7","random","0.5","true","0.26","1000","1475","1475"
"300","0.8","0.7","random","0.5","true","0.26","1000","1106","1106"
"303","0.6","0.3","small-world","0.5","true","0.26","1000","1288","1288"
"297","0.2","0.7","random","0.5","true","0.26","1000","2354","2354"
"302","0.4","0.3","small-world","0.5","true","0.26","1000","1620","1620"
"304","0.8","0.3","small-world","0.5","true","0.26","1000","1119","1119"
"301","0.2","0.3","small-world","0.5","true","0.26","1000","2800","2800"
"306","0.4","0.5","small-world","0.5","true","0.26","1000","1670","1670"
"308","0.8","0.5","small-world","0.5","true","0.26","1000","1092","1092"
"307","0.6","0.5","small-world","0.5","true","0.26","1000","1308","1308"
"310","0.4","0.7","small-world","0.5","true","0.26","1000","1514","1514"
"311","0.6","0.7","small-world","0.5","true","0.26","1000","1231","1231"
"305","0.2","0.5","small-world","0.5","true","0.26","1000","2636","2636"
"309","0.2","0.7","small-world","0.5","true","0.26","1000","2295","2295"
"312","0.8","0.7","small-world","0.5","true","0.26","1000","1123","1123"
"292","0.8","0.3","random","0.5","true","0.26","1000","1125","1125"
"314","0.4","0.3","preferential-attachment","0.5","true","0.26","1000","1702","1702"
"316","0.8","0.3","preferential-attachment","0.5","true","0.26","1000","1138","1138"
"315","0.6","0.3","preferential-attachment","0.5","true","0.26","1000","1268","1268"
"319","0.6","0.5","preferential-attachment","0.5","true","0.26","1000","1300","1300"
"313","0.2","0.3","preferential-attachment","0.5","true","0.26","1000","2563","2563"
"318","0.4","0.5","preferential-attachment","0.5","true","0.26","1000","1530","1530"
"317","0.2","0.5","preferential-attachment","0.5","true","0.26","1000","2459","2459"
"323","0.6","0.7","preferential-attachment","0.5","true","0.26","1000","1247","1247"
"322","0.4","0.7","preferential-attachment","0.5","true","0.26","1000","1567","1567"
"324","0.8","0.7","preferential-attachment","0.5","true","0.26","1000","1104","1104"
"321","0.2","0.7","preferential-attachment","0.5","true","0.26","1000","2165","2165"
"328","0.8","0.3","random","0.5","false","0.26","1000","913","913"
"327","0.6","0.3","random","0.5","false","0.26","1000","1195","1195"
"326","0.4","0.3","random","0.5","false","0.26","1000","1821","1821"
"331","0.6","0.5","random","0.5","false","0.26","1000","1228","1228"
"325","0.2","0.3","random","0.5","false","0.26","1000","3605","3605"
"330","0.4","0.5","random","0.5","false","0.26","1000","1821","1821"
"332","0.8","0.5","random","0.5","false","0.26","1000","935","935"
"334","0.4","0.7","random","0.5","false","0.26","1000","1861","1861"
"329","0.2","0.5","random","0.5","false","0.26","1000","3721","3721"
"336","0.8","0.7","random","0.5","false","0.26","1000","920","920"
"335","0.6","0.7","random","0.5","false","0.26","1000","1263","1263"
"338","0.4","0.3","small-world","0.5","false","0.26","1000","1893","1893"
"333","0.2","0.7","random","0.5","false","0.26","1000","3575","3575"
"339","0.6","0.3","small-world","0.5","false","0.26","1000","1223","1223"
"340","0.8","0.3","small-world","0.5","false","0.26","1000","903","903"
"320","0.8","0.5","preferential-attachment","0.5","true","0.26","1000","1102","1102"
"337","0.2","0.3","small-world","0.5","false","0.26","1000","3812","3812"
"343","0.6","0.5","small-world","0.5","false","0.26","1000","1256","1256"
"344","0.8","0.5","small-world","0.5","false","0.26","1000","917","917"
"342","0.4","0.5","small-world","0.5","false","0.26","1000","1844","1844"
"346","0.4","0.7","small-world","0.5","false","0.26","1000","1801","1801"
"348","0.8","0.7","small-world","0.5","false","0.26","1000","916","916"
"341","0.2","0.5","small-world","0.5","false","0.26","1000","3577","3577"
"351","0.6","0.3","preferential-attachment","0.5","false","0.26","1000","1279","1279"
"352","0.8","0.3","preferential-attachment","0.5","false","0.26","1000","899","899"
"345","0.2","0.7","small-world","0.5","false","0.26","1000","3457","3457"
"350","0.4","0.3","preferential-attachment","0.5","false","0.26","1000","1837","1837"
"355","0.6","0.5","preferential-attachment","0.5","false","0.26","1000","1245","1245"
"356","0.8","0.5","preferential-attachment","0.5","false","0.26","1000","929","929"
"354","0.4","0.5","preferential-attachment","0.5","false","0.26","1000","1907","1907"
"349","0.2","0.3","preferential-attachment","0.5","false","0.26","1000","3661","3661"
"358","0.4","0.7","preferential-attachment","0.5","false","0.26","1000","1871","1871"
"360","0.8","0.7","preferential-attachment","0.5","false","0.26","1000","916","916"
"359","0.6","0.7","preferential-attachment","0.5","false","0.26","1000","1241","1241"
"353","0.2","0.5","preferential-attachment","0.5","false","0.26","1000","3826","3826"
"347","0.6","0.7","small-world","0.5","false","0.26","1000","1255","1255"
"357","0.2","0.7","preferential-attachment","0.5","false","0.26","1000","3706","3706"
"363","0.6","0.3","random","0.5","true","0.26","1000","1302","1302"
"364","0.8","0.3","random","0.5","true","0.26","1000","1111","1111"
"362","0.4","0.3","random","0.5","true","0.26","1000","1694","1694"
"366","0.4","0.5","random","0.5","true","0.26","1000","1594","1594"
"361","0.2","0.3","random","0.5","true","0.26","1000","2650","2650"
"368","0.8","0.5","random","0.5","true","0.26","1000","1102","1102"
"365","0.2","0.5","random","0.5","true","0.26","1000","2427","2427"
"371","0.6","0.7","random","0.5","true","0.26","1000","1262","1262"
"370","0.4","0.7","random","0.5","true","0.26","1000","1505","1505"
"372","0.8","0.7","random","0.5","true","0.26","1000","1081","1081"
"369","0.2","0.7","random","0.5","true","0.26","1000","2210","2210"
"374","0.4","0.3","small-world","0.5","true","0.26","1000","1663","1663"
"375","0.6","0.3","small-world","0.5","true","0.26","1000","1321","1321"
"376","0.8","0.3","small-world","0.5","true","0.26","1000","1112","1112"
"373","0.2","0.3","small-world","0.5","true","0.26","1000","2642","2642"
"378","0.4","0.5","small-world","0.5","true","0.26","1000","1542","1542"
"380","0.8","0.5","small-world","0.5","true","0.26","1000","1073","1073"
